Appliance,Minimum,Maximum,Standby,Other Name(s),References,Notes
LED Light Bulb,7W,10W,0W,Energy Saver Bulb,[1][2],Very efficient compared with incandescent; little to no draw when switched off (non-smart).
LG Soundbar,23W,30W,0.5W,Soundbar,,Low draw at normal volume; standby typically ~0.5 W.
Mi Box,5W,7W,3W,"Android TV Box,Streaming Box",,Streaming box; playback uses a few more watts than idle; quick-start adds standby draw.
Microwave,600W,1700W,3W,Microwave Oven,[1][2],Nameplate is input watts; cooking output is lower. Standby clock/display draws a few watts.
Mini Fridge Freezer,50W,75W,N/A,,,Small compressor runs often; ambient and door openings affect cycling.
Night Light,1W,1W,0W,,,LED designs use ~1 W; dusk sensors add a tiny overhead.
Nintendo Switch AC Adapter,7W,40W,N/A,,,Draw depends on charging/docked mode; idle adapter draw is small.
OLED TV,80W,200W,N/A,Organic Light-Emitting Diode TV,,OLED power depends on image brightness; near-black scenes use much less.
Outdoor Hot Tub,60W,500W,N/A,"Canadian Spa,Outdoor Spa",[1],Heater and pumps run to maintain water temp; a good cover reduces standby losses.
Oven,2150W,2150W,N/A,Electric Oven,,Thermostatically cycles after preheat; fan adds a small additional load.
Paper Shredder,200W,220W,N/A,,,Motor draw spikes while shredding; keep to duty cycle to avoid overheating.
Pedestal Fan,50W,60W,N/A,"Tall Standing Fan,Floor Fan,Stand Fan",,Freestanding oscillating fan; efficient alternative to AC.
Percolator,800W,1100W,N/A,Coffee Maker,[1],Brews then switches to keep-warm at a much lower draw.
Philips Hue Smart Bulb,8W,9W,0.4W,Hue lights,,"Smart bulb keeps Zigbee/Bluetooth radio alive when “off”, so small standby persists."
Phone Charger,4W,7W,N/A,"Smart Phone Charger,Cell Phone Charger,Mobile Phone Charger",,Draw depends on charging rate; no-load and trickle draw are very small.
Playstation 4,85W,90W,N/A,PS4,,Gaming load much higher than media playback; rest mode consumes power for updates.
Playstation 5,160W,200W,N/A,PS5,,High gaming load; rest mode draws power for updates/charging unless disabled.
Portable Air Conditioner,1000W,1200W,N/A,Mobile Air Conditioner,,Single-hose units are less efficient; compressor cycles heavily in heatwaves.
Portable Mini Dehumidifier,20W,80W,N/A,"Compact Dehumidifier,Room Dehumidifier",[1],Low-power Peltier type units for bedrooms and cupboards.
Power Shower,7500W,10500W,N/A,Electric Shower,[1],Instant water heater for showers; draw only while water is flowing.
Pressure Cooker,700W,700W,N/A,,[1],Pressure cooking shortens cook time vs oven; cycles heating to maintain pressure.
Pressure Washer,1500W,1500W,N/A,Electric Pressure Washer,,Pump motor load depends on pressure; use intermittently—avoid long dry runs.
Projector,220W,270W,1W,,,Lamp brightness dominates; standby about 1 W; filters and eco modes affect draw.
Rice Cooker,200W,800W,N/A,,[1],Cook phase high; keep-warm typically 30–60 W for hours.
Ring Spotlight Cam Wired,4W,25W,2W,,,Standby keeps cameras/network ready; lights/recording raise draw briefly.
Robot Vacuum Base Station,30W,100W,N/A,Robot Vacuum Cleaner Base Station,,Dock draws little at idle; auto-empty/charging cause short power spikes.
Robot Vacuum Cleaner,20W,70W,3W,"RoboVac,iRobot Roomba",[1],Excludes charging dock; typical runtime 20–70W while moving.
Sandwich Maker,700W,1000W,N/A,"Sandwich Press, Sandwich Toaster",,Heated plates preheat quickly; cycles to keep temperature between batches.
Scanner,10W,18W,N/A,,,Low power with brief lamp/motor activity when scanning; standby is minimal.
Set Top Box,27W,30W,N/A,"Cable Box,Humax Box",,PVRs can consume notable power in standby unless eco modes are enabled.
Sewing Machine,70W,80W,N/A,,[1],Motor load varies with fabric thickness; foot pedal controls speed.
Singer Sewing Machine (Generic),100W,100W,N/A,,,Simple sewing machine; power depends on motor speed and fabric resistance.
Sky Q 2TB Box,40W,40W,N/A,Sky Box,[1],PVR with recordings and network standby; enable eco modes to cut idle draw.
Slow Cooker,160W,180W,N/A,,[1],Low steady heat over many hours; efficient alternative to oven for stews/roasts.
Smart Speaker with Display,5W,15W,2W,"Smart Display,Google Nest Hub,Amazon Echo Show",[1],Always-on smart assistant with touchscreen.
Smoke Detector,0W,1W,N/A,Mains Connected Smoke Detector,,Mains-powered sensor with tiny continuous draw; trickle-charges backup battery.
Soldering Iron,30W,60W,N/A,,,Thermostatic control maintains tip temperature; duty cycles during use.
Space Heater,2000W,5000W,N/A,,[1],High-power resistive heater; use dedicated circuits and thermostat/timer.
Steam Iron,2200W,2500W,N/A,,[1],Steam generator irons draw more at heat-up; cycles to maintain steam pressure.
Steriliser,650W,650W,N/A,Sterilizer,[1],Short sterilization cycles; heater or UV depending on model.
Straightening Iron,75W,300W,N/A,Hair Straighteners,,Rapid heat-up; thermostat cycles to hold set temperature.
Strimmer,300W,500W,N/A,,,"String trimmer; high RPM, short bursts around edges and borders."
Submersible Water Pump,200W,400W,N/A,"Pool Pump,Sump Pump,Well Pump",[1],Load depends on head height/flow; float switch automation reduces run time.
Table Fan,10W,25W,N/A,"Desk Fan,Table Fan",,Air movement improves comfort with very low power; oscillation adds a small amount.
Table Top Fridge,10W,15W,N/A,Mini Fridge,,Mini fridge/freezer; cycles continuously; generally less efficient per litre than full-size.
Tablet Charger,10W,15W,N/A,,,Similar to phone chargers; charging state and screen use dominate draw.
Tablet Computer,5W,10W,N/A,,[1],Low draw device; charging and screen brightness are the main contributors.
Toaster,800W,1800W,N/A,,[1],"Heating elements run for short cycles (2–4 min per use); high peak, short duty."
Tower Fan,60W,60W,N/A,,[1],Column fan; oscillation and higher speeds add modest power.
Treadmill,280W,900W,N/A,,,Draw rises with speed/incline and user weight; highest during acceleration.
Tube Light (1500mm),22W,22W,N/A,,,Fluorescent tube with ballast; LED replacements cut power significantly.
"TV (19"" colour)",40W,100W,1W,,[1],Small TV; scene content and brightness affect draw; standby typically ~1 W if enabled.
Ultrasonic Nebulizer,20W,60W,N/A,,,Ultrasonic (piezo) transducer; used in short therapy sessions with low power.
Vacuum Cleaner,450W,900W,0W,,[1][2],"Power varies by suction setting and floor type; typically short, intermittent use."
Wall Fan,45W,60W,0W,,,Efficient air movement; oscillation adds a small load.
Washing Machine,500W,500W,1W,Clothes Washer,,EU annual consumption ratings are based on 220 cycles across standard programs.
Water Dispenser,100W,100W,N/A,,[1],Maintains cold reservoir; compressor cycles—opening the tap triggers brief peaks.
Water Feature,35W,35W,N/A,"Fountain Pump,Pond Feature",,Small continuous pump for 24/7 operation; choose efficient model to limit always-on cost.
Water Filter and Cooler,70W,100W,N/A,Water Cooler,[1],Chills a small tank and cycles; hot/cold models draw more than cold-only.
WiFi Booster,1W,2W,N/A,"WiFi Repeater,WiFi Extender,Range Extender",,"Low continuous draw; placement affects coverage, not power use."
WiFi Router,4W,10W,4W,"Home Internet Router,Router",,Always-on networking; multiple bands and USB devices add a little power.
Window Air Conditioner,500W,1500W,N/A,Window AC,,Self-contained AC; EER and thermostat settings govern cycling and draw.
Wine cooler (18 bottles),83W,83W,N/A,,[1],Small wine cooler; thermoelectric/compressor types vary—door openings add load.
Xbox One,50W,110W,14W,,,Instant-on standby draws more; energy-saver mode lowers idle.
